n_estimators,max_depth,min_samples_split,max_iter,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev
1,1.0,2,10,21.14265361606886,19.00872391786389,13.226327142631181,18.429462844557317,23.970904735990565,31.322784344972508,23.201256913644315,13.584655903152683,41.65222146364288,7.839465698234951,21.337845658075917,1.0157319230776374,0.8542826957753142,1.165784409952055,0.9999999999999998,0.9669099207405057,0.877918979486701,0.8836553556094835,1.358129461851185,1.118799496881648,1.0,1.024121224337453,-0.015731923077637343,0.1457173042246857,-0.16578440995205485,1.938807657061223e-16,0.03309007925949429,0.1220810205132991,0.11634464439051649,-0.35812946185118505,-0.11879949688164802,0.0,-0.024121224337452944
1,1.0,2,20,26.977803750316397,23.36943370350655,12.037290249580527,19.5455703186894,22.54380393001915,30.755963912495364,22.743096596672217,12.101945843052707,40.382816684966556,9.923626316116698,22.038135130541555,1.296459244714593,1.0639997799946774,0.9498490607674862,1.0367168610177122,0.8879084185373349,0.8811873867779041,0.8519199653663849,1.1694614187814432,1.0731472639575148,1.2223641684687343,1.0433013568383784,-0.296459244714593,-0.06399977999467742,0.05015093923251382,-0.036716861017712196,0.1120915814626651,0.1188126132220959,0.14808003463361502,-0.16946141878144313,-0.07314726395751477,-0.22236416846873425,-0.0433013568383785
1,1.0,5,2,21.66492407739207,20.309413759555454,11.503871717052359,20.951809414384197,28.21227253540314,27.88029631948206,25.184771303916058,10.84686186360224,33.90038064833537,8.5338021753947,20.898840381451762,1.0,0.9210981964556268,1.0255439764861707,1.1328876922494453,1.1572711058200669,0.9004140310726143,0.969716673619433,1.084515702829907,0.9080597252629012,0.9303592981346581,1.0029866401930825,0.0,0.07890180354437314,-0.025543976486170766,-0.13288769224944527,-0.15727110582006676,0.09958596892738567,0.030283326380566918,-0.08451570282990717,0.09194027473709879,0.06964070186534191,-0.002986640193082357
1,1.0,5,3,25.117078769971783,22.776414516485797,11.024271563981703,18.23546344409459,24.195530399070712,32.989323095160486,21.81581279455785,11.979418948367336,37.913220175448984,7.3196776325800865,21.336621133971935,1.1527998365010013,1.032465818565078,0.9869991660783592,0.9907270049034702,0.9972717224652184,0.8877833034888956,0.8688985858561782,1.1981554871132973,0.9760213486598861,0.9241258100730765,1.001524808370446,-0.1527998365010013,-0.03246581856507796,0.013000833921640765,0.009272995096529795,0.002728277534781504,0.11221669651110447,0.13110141414382184,-0.19815548711329742,0.023978651340113937,0.07587418992692352,-0.0015248083704460832
1,1.0,5,10,22.373661533386908,21.849240788833256,11.244900105229744,23.67147303300013,23.872129006536056,30.904806253908777,17.970137654396694,11.465156324088515,36.287916307708734,7.800653123839449,20.744007413092827,1.098302287656282,0.9830094004473304,0.9999999999999997,1.2866800201904167,0.9565947894449542,0.8402837187998863,0.692329744460455,1.1430428618717892,0.979706159461799,0.980748063700202,0.9960697046033117,-0.09830228765628192,0.016990599552669596,3.236275317851441e-16,-0.2866800201904166,0.043405210555045724,0.15971628120011375,0.30767025553954497,-0.1430428618717892,0.02029384053820107,0.019251936299798024,0.003930295396688576
1,1.0,5,20,29.567965910903673,19.267818996466477,10.679656627095259,19.73255861945121,24.79269327946327,30.301157236020988,21.86630287531227,12.434396730907045,41.33420097265403,9.942251538492544,21.991900278676674,1.3537460367515814,0.8727178966009753,0.9379342736253816,1.0351838400256619,0.9546145655570364,0.8910068391722102,0.8174832124768635,1.2308337615297158,1.092157532943747,1.1613158202374658,1.0346993778920637,-0.3537460367515815,0.1272821033990247,0.062065726374618366,-0.03518384002566177,0.04538543444296357,0.10899316082778975,0.18251678752313655,-0.2308337615297157,-0.09215753294374693,-0.1613158202374658,-0.03469937789206388
1,50.0,2,2,43.95980744720294,35.02662663603613,25.113108846024016,44.95199418653912,27.976456627926645,28.71151088625648,33.83842629666085,34.824488154150686,42.29343599270045,28.5514556844489,34.52473107579463,2.1941283642738334,1.5707203394407725,2.285966712568276,2.1906940873687155,1.048659877763128,0.9320382152494106,1.3167958487435498,3.4687164143083464,1.128576177111983,3.8103138371995278,1.9946609874027543,-1.1941283642738336,-0.5707203394407725,-1.285966712568276,-1.1906940873687155,-0.04865987776312787,0.0679617847505895,-0.31679584874354993,-2.4687164143083464,-0.12857617711198308,-2.8103138371995278,-0.9946609874027542
1,50.0,2,3,30.27543361111052,26.62289854248273,26.976015906359713,34.348145077901215,34.01395352646224,36.74951465449184,36.37616770741944,29.35282612845451,58.34332148861301,15.263429994942117,32.83217066382373,1.390606836066208,1.2121985224682639,2.4512942262891273,1.8497448232020632,1.4059015125630712,1.2329902064727813,1.4481430003115543,2.929218587263065,1.5228068004432562,2.052835092048418,1.7495739607127807,-0.39060683606620805,-0.21219852246826396,-1.4512942262891275,-0.8497448232020633,-0.4059015125630712,-0.2329902064727814,-0.44814300031155435,-1.9292185872630652,-0.5228068004432562,-1.0528350920484182,-0.7495739607127809
1,50.0,2,10,38.06380750413892,31.60518915287004,23.123998677205886,24.781199542062975,38.994969347344856,52.719083757526114,37.802779470525195,18.345844881809306,34.6108764945607,15.978214923455678,31.60259637514996,1.878352933765145,1.2970954498463918,2.0673852823943046,1.3477346052786499,1.5543198879970228,1.5320976404103825,1.413178746384365,1.792996581368707,0.8958760571865843,1.801166905942673,1.5580204090574223,-0.878352933765145,-0.29709544984639175,-1.0673852823943049,-0.3477346052786499,-0.5543198879970227,-0.5320976404103824,-0.4131787463843651,-0.792996581368707,0.10412394281341579,-0.801166905942673,-0.5580204090574226
1,50.0,2,20,26.61539999323173,24.75042213296444,11.312437294801624,33.33901397252862,22.240869373497464,31.545002050947005,21.44789700175147,15.050029759020713,45.77269288876117,17.599216404716113,24.967298087222037,1.291789722029935,1.0991066886560046,1.029742323513868,1.7769795680419496,0.9194698916092245,0.9945315290478869,0.8386672474393679,1.450456431052802,1.2357380891132086,2.1578352685352775,1.2794316759039526,-0.2917897220299351,-0.09910668865600451,-0.029742323513868144,-0.7769795680419496,0.08053010839077546,0.005468470952113118,0.16133275256063206,-0.4504564310528021,-0.2357380891132085,-1.1578352685352775,-0.27943167590395246
1,50.0,5,2,38.66342565116934,41.40121729601287,31.77737545698981,45.817207134369376,33.607698411578376,33.727529641178585,26.49319894606002,17.958996219914393,59.340842698610714,28.805536553058836,35.75930280089423,1.9258031955934027,1.8691677373618516,2.6479690755554555,2.4179930645557204,1.349770086158899,1.1092786599553464,1.054972431049017,1.7798259028912131,1.6007839543023918,3.4919711446125183,1.9247535252035817,-0.9258031955934027,-0.8691677373618516,-1.6479690755554557,-1.4179930645557206,-0.3497700861588991,-0.10927865995534639,-0.054972431049016945,-0.7798259028912131,-0.6007839543023918,-2.4919711446125183,-0.9247535252035816
1,50.0,5,3,10.430825650155311,35.98232090549872,30.236715981826162,33.886899128812544,24.676518398521825,44.99465916206014,23.92885453113354,27.950613677545725,52.52377138196735,18.35060407115464,30.296178288867594,0.5227496239339364,1.608219006633615,2.6322265305426655,1.766434893112569,1.006243260145124,1.3234546243115264,0.9303568507860788,2.639405381990113,1.3880892521418946,2.3374888163371272,1.6154668239934646,0.47725037606606363,-0.6082190066336152,-1.6322265305426655,-0.7664348931125691,-0.006243260145124095,-0.32345462431152644,0.06964314921392122,-1.6394053819901129,-0.3880892521418946,-1.3374888163371275,-0.6154668239934651
1,50.0,5,10,26.414117069262467,38.376748635961064,20.37283099933977,25.11552524734901,24.429842099563114,31.683567530396537,36.688839443500356,19.3608198686251,59.326297560117204,20.49770249031954,30.22662909444341,1.3274247918907975,1.729168208926572,1.8553774216384993,1.213465473812396,1.0458617348634944,0.8892312458059626,1.4146764010915442,1.936787883617724,1.5641690279952853,2.755903918264816,1.573206610790709,-0.32742479189079754,-0.7291682089265721,-0.8553774216384993,-0.21346547381239592,-0.04586173486349451,0.11076875419403738,-0.4146764010915443,-0.9367878836177239,-0.5641690279952853,-1.7559039182648164,-0.5732066107907092
1,50.0,5,20,29.060955038908876,26.66423083887264,19.56527240454357,17.092038690012288,27.992910463010826,38.11513169280659,35.12090205763111,10.639562707299586,28.991484630225465,19.952497328648814,25.31949858519598,1.3278900534913731,1.1909521318743759,1.7816279934114871,0.8871873187848983,1.1602094900952487,1.1489642650684164,1.3099379243754599,1.0435118603219695,0.7787889578755558,2.1069152628125534,1.2735985258111338,-0.32789005349137323,-0.1909521318743759,-0.7816279934114871,0.11281268121510168,-0.16020949009524862,-0.14896426506841634,-0.30993792437545997,-0.04351186032196957,0.22121104212444417,-1.1069152628125534,-0.2735985258111338
