n_estimators,max_depth,min_samples_split,max_iter,n_splits,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev,oob_1,oob_2,oob_3,oob_4,oob_5,oob_6,oob_7,oob_8,oob_9,oob_10,oob_score
100,,0.1,10,5,12.565951726353251,10.631250753461673,3.188594348102458,8.772187994389268,5.133187622781279,,,,,,8.058234489017586,0.35276799856535795,0.3730993564031258,0.09096890716095095,0.3094080946797063,0.19000445064918073,,,,,,0.26324976149166435,0.647232001434642,0.6269006435968741,0.9090310928390491,0.6905919053202936,0.8099955493508193,,,,,,0.7367502385083357,21.3,24.6,20.7,19.4,30.0,,,,,,23.2
100,,0.1,10,10,11.308727850358101,10.121511933074878,14.984030000053005,5.5466598866179115,2.600192564922862,4.908327051815167,4.9005184668698565,5.4844873039449435,7.43372438924006,2.8833966887701403,7.017157613566691,0.36850629999395373,0.3087431121997099,0.26525597084015234,0.3851172879816004,0.10570180099736348,0.08895306932987578,0.14304679091746134,0.20313186708076986,0.3387989865990845,0.09033174184347659,0.22975869277834482,0.6314937000060463,0.69125688780029,0.7347440291598477,0.6148827120183996,0.8942981990026366,0.9110469306701242,0.8569532090825387,0.7968681329192302,0.6612010134009155,0.9096682581565234,0.7702413072216552,27.7,3.8,19.9,19.0,13.8,31.6,19.3,20.9,28.5,18.4,20.29
100,,0.15,2,3,12.312053577198395,6.448145509810963,9.053164308627265,,,,,,,,9.271121131878873,0.405743393082002,0.25669347550480304,0.3582046967871833,,,,,,,,0.3402138551246628,0.594256606917998,0.743306524495197,0.6417953032128166,,,,,,,,0.6597861448753372,16.2,9.2,18.2,,,,,,,,14.533333333333331
100,,0.15,2,5,12.536117496319456,9.712938270446795,5.162429844447572,11.56452702338884,7.4705287456804434,,,,,,9.289308276056621,0.40467286989364576,0.3775079059530447,0.19467683478830541,0.44384549532694406,0.28486427716622387,,,,,,0.34111347662563274,0.5953271301063543,0.6224920940469554,0.8053231652116946,0.5561545046730559,0.7151357228337761,,,,,,0.6588865233743673,21.0,14.4,5.9,17.0,16.5,,,,,,14.959999999999999
100,,0.15,2,10,13.454881201985414,9.473713813004156,13.160597926803094,5.732924804237751,4.16348906469043,5.980837669882205,7.535701647969608,7.763872373789904,8.376526980137738,5.738719814448009,8.13812652969483,0.5250428055833096,0.308784371699574,0.31480324831530604,0.3985978765763533,0.21250991102411193,0.17999412091463102,0.23351242830003816,0.3123314902761196,0.3701782543051399,0.19505715784696814,0.3050811664841552,0.4749571944166904,0.691215628300426,0.685196751684694,0.6014021234236466,0.7874900889758881,0.820005879085369,0.7664875716999618,0.6876685097238805,0.62982174569486,0.8049428421530319,0.6949188335158449,23.2,13.6,15.1,14.3,12.4,14.7,17.1,14.7,18.6,18.1,16.18
100,,0.15,10,3,11.490489370166708,4.12858145218237,5.799438448492403,,,,,,,,7.139503090280495,0.313898624792091,0.16128355223134277,0.22108204085676905,,,,,,,,0.23208807262673428,0.6861013752079089,0.8387164477686572,0.778917959143231,,,,,,,,0.7679119273732656,12.9,30.3,24.2,,,,,,,,22.46666666666667
100,,0.15,10,5,12.251074337359158,10.639272683010999,3.332142530959479,9.14295786817818,5.182640339282076,,,,,,8.109617551757978,0.3472732362255533,0.3726476435725151,0.09259015915110033,0.3272589756616273,0.19432907630409174,,,,,,0.26681981818297756,0.6527267637744468,0.6273523564274848,0.9074098408488996,0.6727410243383726,0.8056709236959082,,,,,,0.7331801818170225,19.8,23.7,23.9,20.0,27.5,,,,,,22.98
100,,0.15,10,10,11.407191027412589,9.698915649842975,15.067111320483367,5.360491860830761,2.7289059323174576,4.51393660423383,4.983956103835202,5.674237725391606,7.466007086825271,2.8676523572504555,6.976840566842351,0.378292217899748,0.30021324399794824,0.25569890755123875,0.3729112703843766,0.10413681514598326,0.07553639118291412,0.14817996950495718,0.21231364872179725,0.33973204842506194,0.08838126621882039,0.22753957790328458,0.621707782100252,0.6997867560020518,0.7443010924487613,0.6270887296156233,0.8958631848540168,0.9244636088170859,0.8518200304950428,0.7876863512782027,0.6602679515749381,0.9116187337811796,0.7724604220967155,25.6,2.8,15.8,18.4,16.6,28.6,22.0,20.5,29.5,15.6,19.54
500,,0.05,2,3,14.174219720564896,7.876920367409787,11.658733403243861,,,,,,,,11.236624497072848,0.5116729334062039,0.33390947051584463,0.4764033173778121,,,,,,,,0.44066190709995356,0.48832706659379604,0.6660905294841554,0.523596682622188,,,,,,,,0.5593380929000465,15.6,4.7,14.3,,,,,,,,11.533333333333333
500,,0.05,2,5,14.121341450172615,11.534725971838723,7.098754036530723,14.21630668082254,10.132655693812321,,,,,,11.420756766635384,0.5590280612714215,0.4628722639655429,0.29795570811658334,0.564776245791821,0.40976311278095695,,,,,,0.4588790783852651,0.44097193872857854,0.5371277360344572,0.7020442918834167,0.43522375420817905,0.590236887219043,,,,,,0.5411209216147349,16.7,13.7,8.4,15.0,15.4,,,,,,13.84
